['Humedad', 'Absorb Agua', 'Ignorante'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,Agua Fish Pokémon,45,1000000,0.4,55,Upahウパー,Wooper,50,194,25,25,15,Agua,Tierra,8.5,2,0
['Humedad', 'Absorb Agua', 'Ignorante'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,430,90,Agua Fish Pokémon,85,1000000,1.4,95,Nuohヌオー,Quagsire,50,195,65,65,35,Agua,Tierra,75.0,2,0
['Sincronia', 'Espejo Magico'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,525,45,Sun Pokémon,60,1000000,0.9,65,Eifieエーフィ,Espeon,88.1,196,130,95,110,Psiquico,,26.5,2,0
['Sincronia', 'Foco interno'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,8960,35,525,45,Moonlight Pokémon,110,1000000,1.0,95,Blackyブラッキー,Umbreon,88.1,197,60,130,65,Siniestro,,27.0,2,0
['Insomnia', 'Afortunado', 'Bromista'],1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,5120,35,405,30,Siniestroness Pokémon,42,1059860,0.5,60,Yamikarasuヤミカラス,Murkrow,50,198,85,42,91,Siniestro,Volador,2.1,2,0
['Despiste', 'Ritmo propio', 'Regeneracion'],2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,490,70,Royal Pokémon,80,1000000,2.0,95,Yadokingヤドキング,Slowking,50,199,100,110,30,Agua,Psiquico,79.5,2,0
['Levitacion'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,435,45,Screech Pokémon,60,800000,0.7,60,Mumaムウマ,Misdreavus,50,200,85,85,85,Fantasma,,1.0,2,0
['Levitacion'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,10240,70,336,225,Symbol Pokémon,48,1000000,0.5,48,Unknownアンノーン,Unown,,201,72,48,48,Psiquico,,5.0,2,0
['Sombra Trampa', 'Telepatia'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,Patient Pokémon,58,1000000,1.3,190,Sonansソーナンス,Wobbuffet,50,202,33,58,33,Psiquico,,28.5,2,0
['Foco interno', 'Madrugar', 'Herviboro'],2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,5120,70,455,60,Long Neck Pokémon,65,1000000,1.5,70,Kirinrikiキリンリキ,Girafarig,50,203,90,65,85,Normal,Psiquico,41.5,2,0
['Robustez', 'Funda'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,Bagworm Pokémon,90,1000000,0.6,50,Kunugidamaクヌギダマ,Pineco,50,204,35,35,15,Bicho,,7.2,2,0
['Robustez', 'Funda'],0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,5120,70,465,75,Bagworm Pokémon,140,1000000,1.2,75,Foretosフォレトス,Forretress,50,205,60,60,40,Bicho,Acero,125.8,2,0
['Dicha', 'Fuga', 'Cobardia'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,Land Snake Pokémon,70,1000000,1.5,100,Nokocchiノコッチ,Dunsparce,50,206,65,65,45,Normal,,14.0,2,0
['Corte Fuerte', 'Velo Arena', 'Inmunidad'],0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,1.1,65,Gligerグライガー,Gligar,50,207,35,65,85,Tierra,Volador,64.8,2,0
['Cabeza Roca', 'Robustez', 'Potencia Bruta'],0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,6400,70,610,25,Iron Snake Pokémon,230,1000000,9.2,75,Haganeilハガネール,Aceroix,50,208,55,95,30,Acero,Tierra,400.0,2,0
['Intimidacion', 'Fuga', 'Cobardia'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,Hada Pokémon,50,800000,0.6,60,Buluブルー,Snubbull,24.6,209,40,40,30,Hada,,7.8,2,0
['Intimidacion', 'Pies Rapidos', 'Cobardia'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,5120,70,450,75,Hada Pokémon,75,800000,1.4,90,Granbuluグランブル,Granbull,24.6,210,60,60,45,Hada,,48.7,2,0
['Punto Toxico', 'Nado Rapido', 'Intimidacion'],0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,Harysenハリーセン,Qwilfish,50,211,55,55,85,Agua,Veneno,3.9,2,0
['Enjambre', 'Experto', 'Metal liviano'],0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,6400,70,600,25,Pincer Pokémon,140,1000000,1.8,70,Hassamハッサム,Scizor,50,212,65,100,75,Bicho,Acero,118.0,2,0
['Robustez', 'Gula', 'Respondon'],1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,5120,70,505,190,Mold Pokémon,230,1059860,0.6,20,Tsubotsuboツボツボ,Shuckle,50,213,10,230,5,Bicho,Roca,20.5,2,0
['Enjambre', 'Agallas', 'Autoestima'],0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,6400,70,600,45,Singlehorn Pokémon,115,1250000,1.5,80,Heracrosヘラクロス,Heracross,50,214,40,105,75,Bicho,Luchaing,54.0,2,0
['Foco interno', 'Vista Lince', 'Hurto'],2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,95,5120,35,430,60,Sharp Claw Pokémon,55,1059860,0.9,55,Nyulaニューラ,Sneasel,50,215,35,75,115,Siniestro,Hielo,28.0,2,0
['Recogida', 'Pies Rapidos', 'Recogemiel'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,60,Himegumaヒメグマ,Teddiursa,50,216,50,50,40,Normal,,8.8,2,0
['Agallas', 'Pies Rapidos', 'Nerviosismo'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,130,5120,70,500,60,Hibernator Pokémon,75,1000000,1.8,90,Ringumaリングマ,Ursaring,50,217,75,75,55,Normal,,125.8,2,0
['Escudo Magma', 'Cuerpo Llama', 'Armadura Fragil'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,5120,70,250,190,Lava Pokémon,40,1000000,0.7,40,Magmagマグマッグ,Slugma,50,218,70,40,20,Fuego,,35.0,2,0
['Escudo Magma', 'Cuerpo Llama', 'Armadura Fragil'],0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,5120,70,430,75,Lava Pokémon,120,1000000,0.8,60,Magcargotマグカルゴ,Magcargo,50,219,90,80,30,Fuego,Roca,55.0,2,0
['Despiste', 'Manto niveo', 'Sebo'],1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,250,225,Pig Pokémon,40,1250000,0.4,50,Urimooウリムー,Swinub,50,220,30,30,50,Hielo,Tierra,6.5,2,0
['Despiste', 'Manto niveo', 'Sebo'],1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,5120,70,450,75,Swine Pokémon,80,1250000,1.1,100,Inomooイノムー,Piloswine,50,221,60,60,50,Hielo,Tierra,55.8,2,0
['Entusiasmo', 'Cura Natural', 'Regeneracion'],1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,5120,70,410,60,Coral Pokémon,95,800000,0.6,65,Sunnygoサニーゴ,Corsola,24.6,222,65,95,35,Agua,Roca,5.0,2,0
['Entusiasmo', 'Francotirador', 'Veleta'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,300,190,Jet Pokémon,35,1000000,0.6,35,Teppouoテッポウオ,Remoraid,50,223,65,35,65,Agua,,12.0,2,0
['Ventosas', 'Francotirador', 'Veleta'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,480,75,Jet Pokémon,75,1000000,0.9,75,Okutankオクタン,Octillery,50,224,105,75,45,Agua,,28.5,2,0
['Espiritu Vital', 'Entusiasmo', 'Insomnia'],0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,5120,70,330,45,Delivery Pokémon,45,800000,0.9,45,Delibirdデリバード,Delibird,50,225,65,45,75,Hielo,Volador,16.0,2,0
['Nado Rapido', 'Absorb Agua', 'Velo Agua'],0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,6400,70,485,25,Kite Pokémon,70,1250000,2.1,85,Mantainマンタイン,Mantine,50,226,80,140,70,Agua,Volador,220.0,2,0
['Vista Lince', 'Robustez', 'Armadura Fragil'],0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,80,6400,70,465,25,Armor Bird Pokémon,140,1250000,1.7,65,Airmdエアームド,Skarmory,50,227,40,70,70,Acero,Volador,50.5,2,0
['Madrugar', 'Absorbe fuego', 'Nerviosismo'],1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,60,5120,35,330,120,Siniestro Pokémon,30,1250000,0.6,45,Delvilデルビル,Houndour,50,228,80,50,65,Siniestro,Fuego,10.8,2,0
['Madrugar', 'Absorbe fuego', 'Nerviosismo'],1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,90,5120,35,600,45,Siniestro Pokémon,90,1250000,1.4,75,Hellgarヘルガー,Houndoom,50,229,140,90,115,Siniestro,Fuego,35.0,2,0
['Nado Rapido', 'Francotirador', 'Humedad'],1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,95,5120,70,540,45,Dragon Pokémon,95,1000000,1.8,75,Kingdraキングドラ,Kingdra,50,230,95,95,85,Agua,Dragon,152.0,2,0
['Recogida', 'Velo Arena'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,5120,70,330,120,Long Nose Pokémon,60,1000000,0.5,90,Gomazouゴマゾウ,Phanpy,50,231,40,40,40,Tierra,,33.5,2,0
['Robustez', 'Velo Arena'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5120,70,500,60,Armor Pokémon,120,1000000,1.1,90,Donfanドンファン,Donphan,50,232,60,60,50,Tierra,,120.0,2,0
['Rastro', 'Descarga', 'Calculo Final'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,515,45,Virtual Pokémon,90,1000000,0.6,85,Porygon2ポリゴン２,Porygon2,,233,105,95,60,Normal,,32.5,2,0
['Intimidacion', 'Cacheo', 'Herviboro'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,5120,70,465,45,Big Horn Pokémon,62,1250000,1.4,73,Odoshishiオドシシ,Stantler,50,234,85,65,85,Normal,,71.2,2,0
['Ritmo propio', 'Experto', 'Veleta'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,5120,70,250,45,Painter Pokémon,35,800000,1.2,55,Dobleドーブル,Smeargle,50,235,20,45,75,Normal,,58.0,2,0
['Agallas', 'Impasible', 'Espiritu Vital'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,6400,70,210,75,Scuffle Pokémon,35,1000000,0.7,35,Balkieバルキー,Tyrogue,100,236,35,35,35,Luchaing,,21.0,2,0
['Intimidacion', 'Experto', 'Impasible'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,95,6400,70,455,45,Handstand Pokémon,95,1000000,1.4,50,Kapoererカポエラー,Hitmontop,100,237,35,110,70,Luchaing,,48.0,2,0
['Despiste', 'Alerta', 'Hidratacion'],2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,30,6400,70,305,45,Kiss Pokémon,15,1000000,0.4,45,Muchulムチュール,Smoochum,0,238,85,65,65,Hielo,Psiquico,6.0,2,0
['Electricidad Estatica', 'Espiritu Vital'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,63,6400,70,360,45,Electrico Pokémon,37,1000000,0.6,45,Elekidエレキッド,Elekid,75.4,239,65,55,95,Electrico,,23.5,2,0
['Cuerpo Llama', 'Espiritu Vital'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,6400,70,365,45,Live Coal Pokémon,37,1000000,0.7,45,Bubyブビィ,Magby,75.4,240,70,55,83,Fuego,,21.4,2,0
['Sebo', 'Intrepido', 'Herviboro'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,490,45,Milk Cow Pokémon,105,1250000,1.2,95,Miltankミルタンク,Miltank,0,241,40,70,100,Normal,,75.5,2,0
['Cura Natural', 'Dicha', 'Alma Cura'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10240,140,540,30,Happiness Pokémon,10,800000,1.5,255,Happinasハピナス,Blissey,0,242,75,135,55,Normal,,46.8,2,0
['Presion', 'Foco interno'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,Raikou,,243,115,100,115,Electrico,,178.0,2,1
['Presion', 'Foco interno'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,Entei,,244,90,75,100,Fuego,,198.0,2,1
['Presion', 'Foco interno'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2.0,100,Suicuneスイクン,Suicune,,245,90,115,85,Agua,,187.0,2,1
['Agallas', 'Velo Arena'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,64,10240,35,300,45,Roca Skin Pokémon,50,1250000,0.6,50,Yogirasヨーギラス,Larvitar,50,246,45,50,41,Roca,Tierra,72.0,2,0
['Piel Seca'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,84,10240,35,410,45,Hard Shell Pokémon,70,1250000,1.2,70,Sanagirasサナギラス,Pupitar,50,247,65,70,51,Roca,Tierra,152.0,2,0
['Chorro Arena', 'Nerviosismo'],2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,164,10240,35,700,45,Armor Pokémon,150,1250000,2.0,100,Bangirasバンギラス,Tyranitar,50,248,95,120,71,Roca,Siniestro,202.0,2,0
['Presion', 'Multiescamas'],1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,Lugia,,249,90,154,110,Psiquico,Volador,216.0,2,1
['Presion', 'Regeneracion'],0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,Ho-Oh,,250,110,154,90,Fuego,Volador,199.0,2,1
['Cura Natural'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,Celebi,,251,100,100,100,Psiquico,Planta,5.0,2,1
['Espesura', 'Liviano'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,310,45,Wood Gecko Pokémon,35,1059860,0.5,40,Kimoriキモリ,Treecko,88.1,252,65,55,70,Planta,,5.0,3,0
['Espesura', 'Liviano'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,5120,70,405,45,Wood Gecko Pokémon,45,1059860,0.9,50,Juptileジュプトル,Grovyle,88.1,253,85,65,95,Planta,,21.6,3,0
['Espesura', 'Liviano'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,110,5120,70,630,45,Forest Pokémon,75,1059860,1.7,70,Jukainジュカイン,Sceptile,88.1,254,145,85,145,Planta,,52.2,3,0
['Mar Llamas', 'Impulso'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5120,70,310,45,Chick Pokémon,40,1059860,0.4,45,Achamoアチャモ,Torchic,88.1,255,70,50,45,Fuego,,2.5,3,0
['Mar Llamas', 'Impulso'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,85,5120,70,405,45,Young Fowl Pokémon,60,1059860,0.9,60,Wakasyamoワカシャモ,Combusken,88.1,256,85,60,55,Fuego,Luchaing,19.5,3,0
['Mar Llamas', 'Impulso'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,160,5120,70,630,45,Mar Llamas Pokémon,80,1059860,1.9,80,Bursyamoバシャーモ,Blaziken,88.1,257,130,80,100,Fuego,Luchaing,52.0,3,0
['Torrente', 'Humedad'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,5120,70,310,45,Mud Fish Pokémon,50,1059860,0.4,50,Mizugorouミズゴロウ,Mudkip,88.1,258,50,50,40,Agua,,7.6,3,0
['Torrente', 'Humedad'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,405,45,Mud Fish Pokémon,70,1059860,0.7,70,Numacrawヌマクロー,Marshtomp,88.1,259,60,70,50,Agua,Tierra,28.0,3,0
['Torrente', 'Humedad'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,150,5120,70,635,45,Mud Fish Pokémon,110,1059860,1.5,100,Laglargeラグラージ,Swampert,88.1,260,95,110,70,Agua,Tierra,81.9,3,0
['Fuga', 'Pies Rapidos', 'Cobardia'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,55,3840,70,220,255,Bite Pokémon,35,1000000,0.5,35,Pochienaポチエナ,Poochyena,50,261,30,30,35,Siniestro,,13.6,3,0
['Intimidacion', 'Pies Rapidos', 'Autoestima'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,3840,70,420,127,Bite Pokémon,70,1000000,1.0,70,Graenaグラエナ,Mightyena,50,262,60,60,70,Siniestro,,37.0,3,0
['Recogida', 'Gula', 'Pies Rapidos'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,3840,70,240,255,Tiny Racoon Pokémon,41,1000000,0.4,38,Jiguzagumaジグザグマ,Zigzagoon,50,263,30,41,60,Normal,,17.5,3,0
['Recogida', 'Gula', 'Pies Rapidos'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,3840,70,420,90,Rush Pokémon,61,1000000,0.5,78,Massugumaマッスグマ,Linoone,50,264,50,61,100,Normal,,32.5,3,0
['Polvo Escudo', 'Fuga'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Kemussoケムッソ,Wurmple,50,265,20,30,20,Bicho,,3.6,3,0
['Piel Seca'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.6,50,Karasalisカラサリス,Silcoon,50,266,25,25,15,Bicho,,10.0,3,0
['Enjambre', 'Rivalidad'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,3840,70,395,45,Butterfly Pokémon,50,1000000,1.0,60,Agehuntアゲハント,Beautifly,50,267,100,50,65,Bicho,Volador,28.4,3,0
['Piel Seca'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Mayuldマユルド,Cascoon,50,268,25,25,15,Bicho,,11.5,3,0
['Polvo Escudo', 'Ojo Compuesto'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,385,45,Veneno Moth Pokémon,70,1000000,1.2,60,Dokucaleドクケイル,Dustox,50,269,50,90,65,Bicho,Veneno,31.6,3,0
['Nado Rapido', 'Cura Lluvia', 'Ritmo propio'],2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,30,3840,70,220,255,Agua Weed Pokémon,30,1059860,0.5,40,Hassbohハスボー,Lotad,50,270,40,50,30,Agua,Planta,2.6,3,0
['Nado Rapido', 'Cura Lluvia', 'Ritmo propio'],2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,3840,70,340,120,Jolly Pokémon,50,1059860,1.2,60,Hasubreroハスブレロ,Lombre,50,271,60,70,50,Agua,Planta,32.5,3,0
['Nado Rapido', 'Cura Lluvia', 'Ritmo propio'],2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,70,3840,70,480,45,Carefree Pokémon,70,1059860,1.5,80,Runpappaルンパッパ,Ludicolo,50,272,90,100,70,Agua,Planta,55.0,3,0
['Clorofila', 'Madrugar', 'Hurto'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,220,255,Acorn Pokémon,50,1059860,0.5,40,Tanebohタネボー,Seedot,50,273,30,30,30,Planta,,4.0,3,0
['Clorofila', 'Madrugar', 'Hurto'],4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,3840,70,340,120,Wily Pokémon,40,1059860,1.0,70,Konohanaコノハナ,Nuzleaf,50,274,60,40,60,Planta,Siniestro,28.0,3,0
['Clorofila', 'Madrugar', 'Hurto'],4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,100,3840,70,480,45,Wickid Pokémon,60,1059860,1.3,90,Dirtengダーテング,Shiftry,50,275,90,60,80,Planta,Siniestro,59.6,3,0
['Agallas', 'Intrepido'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,270,200,TinySwallow Pokémon,30,1059860,0.3,40,Subameスバメ,Taillow,50,276,30,30,85,Normal,Volador,2.3,3,0
['Agallas', 'Intrepido'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,3840,70,455,45,Swallow Pokémon,60,1059860,0.7,60,Ohsubameオオスバメ,Swellow,50,277,75,50,125,Normal,Volador,19.8,3,0
['Vista Lince', 'Hidratacion', 'Cura Lluvia'],0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,30,5120,70,270,190,Seagull Pokémon,30,1000000,0.6,40,Camomeキャモメ,Wingull,50,278,55,30,85,Agua,Volador,9.5,3,0
['Vista Lince', 'Llovizna', 'Cura Lluvia'],0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,5120,70,440,45,Agua Bird Pokémon,100,1000000,1.2,60,Pelipperペリッパー,Pelipper,50,279,95,70,65,Agua,Volador,28.0,3,0
['Sincronia', 'Rastro', 'Telepatia'],1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,25,5120,35,198,235,Feeling Pokémon,25,1250000,0.4,28,Raltsラルトス,Ralts,50,280,45,35,40,Psiquico,Hada,6.6,3,0
['Sincronia', 'Rastro', 'Telepatia'],1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,35,5120,35,278,120,Emotion Pokémon,35,1250000,0.8,38,Kirliaキルリア,Kirlia,50,281,65,55,50,Psiquico,Hada,20.2,3,0
['Sincronia', 'Rastro', 'Telepatia'],1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,85,5120,35,618,45,Embrace Pokémon,65,1250000,1.6,68,Sirnightサーナイト,Gardevoir,50,282,165,135,100,Psiquico,Hada,48.4,3,0
['Nado Rapido', 'Cura Lluvia'],1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,30,3840,70,269,200,Pond Skater Pokémon,32,1000000,0.5,40,Ametamaアメタマ,Surskit,50,283,50,52,65,Bicho,Agua,1.7,3,0
['Intimidacion', 'Nerviosismo'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,60,3840,70,454,75,Eyeball Pokémon,62,1000000,0.8,70,Amemothアメモース,Masquerain,50,284,100,82,80,Bicho,Volador,3.6,3,0
['Efecto Espora', 'Veneno Heal', 'Pies Rapidos'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,295,255,Mushroom Pokémon,60,1640000,0.4,60,Kinococoキノココ,Shroomish,50,285,40,60,35,Planta,,4.5,3,0
['Efecto Espora', 'Veneno Heal', 'Experto'],1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,130,3840,70,460,90,Mushroom Pokémon,80,1640000,1.2,60,Kinogassaキノガッサ,Breloom,50,286,60,60,70,Planta,Luchaing,39.2,3,0
['Ausente'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,280,255,Slacker Pokémon,60,1250000,0.8,60,Namakeroナマケロ,Slakoth,50,287,35,35,30,Normal,,24.0,3,0
['Espiritu Vital'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,3840,70,440,120,Wild Monkey Pokémon,80,1250000,1.4,80,Yarukimonoヤルキモノ,Vigoroth,50,288,55,55,90,Normal,,46.5,3,0
['Ausente'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,160,3840,70,670,45,Lazy Pokémon,100,1250000,2.0,150,Kekkingケッキング,Slaking,50,289,95,65,100,Normal,,130.5,3,0
['Ojo Compuesto', 'Fuga'],1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,45,3840,70,266,255,Trainee Pokémon,90,600000,0.5,31,Tutininツチニン,Nincada,50,290,30,30,40,Bicho,Tierra,5.5,3,0
['Impulso', 'Allanamiento'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,90,3840,70,456,120,Ninja Pokémon,45,600000,0.8,61,Tekkaninテッカニン,Ninjask,50,291,50,50,160,Bicho,Volador,12.0,3,0
['Superguarda'],0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,90,3840,70,236,45,Shed Pokémon,45,600000,0.8,1,Nukeninヌケニン,Shedinja,,292,30,30,40,Bicho,Fantasma,1.2,3,0
['Insonorizar', 'Cobardia'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,51,5120,70,240,190,Whisper Pokémon,23,1059860,0.6,64,Gonyonyoゴニョニョ,Whismur,50,293,51,23,28,Normal,,16.3,3,0
